timestamp,house_id,profile,consumption_kwh,generation_kwh,net_grid_flow,meter_import_kwh,meter_export_kwh
2026-01-01 00:00:00,Haz_1_Idos,elderly,0.03895,0.0,0.03895,0.03895,0.0
2026-01-01 00:15:00,Haz_1_Idos,elderly,0.043394,0.0,0.043394,0.082344,0.0
2026-01-01 00:30:00,Haz_1_Idos,elderly,0.045822,0.0,0.045822,0.128166,0.0
2026-01-01 00:45:00,Haz_1_Idos,elderly,0.043758,0.0,0.043758,0.171924,0.0
2026-01-01 01:00:00,Haz_1_Idos,elderly,0.040103,0.0,0.040103,0.212027,0.0
2026-01-01 01:15:00,Haz_1_Idos,elderly,0.045231,0.0,0.045231,0.257259,0.0
2026-01-01 01:30:00,Haz_1_Idos,elderly,0.041745,0.0,0.041745,0.299004,0.0
2026-01-01 01:45:00,Haz_1_Idos,elderly,0.042352,0.0,0.042352,0.341355,0.0
2026-01-01 02:00:00,Haz_1_Idos,elderly,0.045837,0.0,0.045837,0.387192,0.0
2026-01-01 02:15:00,Haz_1_Idos,elderly,0.043894,0.0,0.043894,0.431087,0.0
2026-01-01 02:30:00,Haz_1_Idos,elderly,0.039129,0.0,0.039129,0.470216,0.0
2026-01-01 02:45:00,Haz_1_Idos,elderly,0.045619,0.0,0.045619,0.515835,0.0
2026-01-01 03:00:00,Haz_1_Idos,elderly,0.04353,0.0,0.04353,0.559365,0.0
2026-01-01 03:15:00,Haz_1_Idos,elderly,0.045954,0.0,0.045954,0.605319,0.0
2026-01-01 03:30:00,Haz_1_Idos,elderly,0.040207,0.0,0.040207,0.645526,0.0
2026-01-01 03:45:00,Haz_1_Idos,elderly,0.039578,0.0,0.039578,0.685104,0.0
2026-01-01 04:00:00,Haz_1_Idos,elderly,0.043813,0.0,0.043813,0.728917,0.0
2026-01-01 04:15:00,Haz_1_Idos,elderly,0.041401,0.0,0.041401,0.770319,0.0
2026-01-01 04:30:00,Haz_1_Idos,elderly,0.041426,0.0,0.041426,0.811744,0.0
2026-01-01 04:45:00,Haz_1_Idos,elderly,0.04304,0.0,0.04304,0.854784,0.0
2026-01-01 05:00:00,Haz_1_Idos,elderly,0.256591,0.0,0.256591,1.111375,0.0
2026-01-01 05:15:00,Haz_1_Idos,elderly,0.236271,0.0,0.236271,1.347646,0.0
2026-01-01 05:30:00,Haz_1_Idos,elderly,0.21652,0.0,0.21652,1.564166,0.0
2026-01-01 05:45:00,Haz_1_Idos,elderly,0.264073,0.0,0.264073,1.828239,0.0
2026-01-01 06:00:00,Haz_1_Idos,elderly,0.486821,0.0,0.486821,2.31506,0.0
2026-01-01 06:15:00,Haz_1_Idos,elderly,0.51229,0.0,0.51229,2.82735,0.0
2026-01-01 06:30:00,Haz_1_Idos,elderly,0.43737,0.0,0.43737,3.26472,0.0
2026-01-01 06:45:00,Haz_1_Idos,elderly,0.494764,0.0,0.494764,3.759485,0.0
2026-01-01 07:00:00,Haz_1_Idos,elderly,0.346511,0.0,0.346511,4.105996,0.0
2026-01-01 07:15:00,Haz_1_Idos,elderly,0.261558,0.0,0.261558,4.367554,0.0
2026-01-01 07:30:00,Haz_1_Idos,elderly,0.386142,0.0,0.386142,4.753696,0.0
2026-01-01 07:45:00,Haz_1_Idos,elderly,0.325727,0.0,0.325727,5.079423,0.0
2026-01-01 08:00:00,Haz_1_Idos,elderly,0.287154,0.0,0.287154,5.366576,0.0
2026-01-01 08:15:00,Haz_1_Idos,elderly,0.30109,0.0,0.30109,5.667666,0.0
2026-01-01 08:30:00,Haz_1_Idos,elderly,0.336763,0.0,0.336763,6.00443,0.0
2026-01-01 08:45:00,Haz_1_Idos,elderly,0.30435,0.0,0.30435,6.30878,0.0
2026-01-01 09:00:00,Haz_1_Idos,elderly,0.199205,0.0,0.199205,6.507985,0.0
2026-01-01 09:15:00,Haz_1_Idos,elderly,0.171212,0.0,0.171212,6.679198,0.0
2026-01-01 09:30:00,Haz_1_Idos,elderly,0.233382,0.0,0.233382,6.912579,0.0
2026-01-01 09:45:00,Haz_1_Idos,elderly,0.255894,0.0,0.255894,7.168473,0.0
2026-01-01 10:00:00,Haz_1_Idos,elderly,0.666267,0.0,0.666267,7.83474,0.0
2026-01-01 10:15:00,Haz_1_Idos,elderly,0.531495,0.0,0.531495,8.366235,0.0
2026-01-01 10:30:00,Haz_1_Idos,elderly,0.625347,0.0,0.625347,8.991582,0.0
2026-01-01 10:45:00,Haz_1_Idos,elderly,0.870173,0.0,0.870173,9.861755,0.0
2026-01-01 11:00:00,Haz_1_Idos,elderly,1.164878,0.0,1.164878,11.026634,0.0
2026-01-01 11:15:00,Haz_1_Idos,elderly,1.010907,0.0,1.010907,12.03754,0.0
2026-01-01 11:30:00,Haz_1_Idos,elderly,1.390061,0.0,1.390061,13.427602,0.0
2026-01-01 11:45:00,Haz_1_Idos,elderly,0.8137,0.0,0.8137,14.241301,0.0
2026-01-01 12:00:00,Haz_1_Idos,elderly,0.549702,0.0,0.549702,14.791003,0.0
2026-01-01 12:15:00,Haz_1_Idos,elderly,0.945096,0.0,0.945096,15.736099,0.0
2026-01-01 12:30:00,Haz_1_Idos,elderly,0.826354,0.0,0.826354,16.562453,0.0
2026-01-01 12:45:00,Haz_1_Idos,elderly,0.675032,0.0,0.675032,17.237486,0.0
