timestamp,house_id,profile,consumption_kwh,generation_kwh,net_grid_flow,meter_import_kwh,meter_export_kwh
2026-01-01 00:00:00,Haz_2_Csalad,family,0.06125,0.0,0.06125,0.06125,0.0
2026-01-01 00:15:00,Haz_2_Csalad,family,0.060076,0.0,0.060076,0.121327,0.0
2026-01-01 00:30:00,Haz_2_Csalad,family,0.20941,0.0,0.20941,0.330737,0.0
2026-01-01 00:45:00,Haz_2_Csalad,family,0.063297,0.0,0.063297,0.394034,0.0
2026-01-01 01:00:00,Haz_2_Csalad,family,0.073662,0.0,0.073662,0.467696,0.0
2026-01-01 01:15:00,Haz_2_Csalad,family,0.067176,0.0,0.067176,0.534872,0.0
2026-01-01 01:30:00,Haz_2_Csalad,family,0.076625,0.0,0.076625,0.611497,0.0
2026-01-01 01:45:00,Haz_2_Csalad,family,0.073342,0.0,0.073342,0.684838,0.0
2026-01-01 02:00:00,Haz_2_Csalad,family,0.078995,0.0,0.078995,0.763833,0.0
2026-01-01 02:15:00,Haz_2_Csalad,family,0.079772,0.0,0.079772,0.843605,0.0
2026-01-01 02:30:00,Haz_2_Csalad,family,0.080609,0.0,0.080609,0.924214,0.0
2026-01-01 02:45:00,Haz_2_Csalad,family,0.085322,0.0,0.085322,1.009536,0.0
2026-01-01 03:00:00,Haz_2_Csalad,family,0.084154,0.0,0.084154,1.09369,0.0
2026-01-01 03:15:00,Haz_2_Csalad,family,0.076525,0.0,0.076525,1.170216,0.0
2026-01-01 03:30:00,Haz_2_Csalad,family,0.083603,0.0,0.083603,1.253819,0.0
2026-01-01 03:45:00,Haz_2_Csalad,family,0.227286,0.0,0.227286,1.481105,0.0
2026-01-01 04:00:00,Haz_2_Csalad,family,0.103295,0.0,0.103295,1.584399,0.0
2026-01-01 04:15:00,Haz_2_Csalad,family,0.095879,0.0,0.095879,1.680278,0.0
2026-01-01 04:30:00,Haz_2_Csalad,family,0.100785,0.0,0.100785,1.781063,0.0
2026-01-01 04:45:00,Haz_2_Csalad,family,0.098626,0.0,0.098626,1.879689,0.0
2026-01-01 05:00:00,Haz_2_Csalad,family,0.107495,0.0,0.107495,1.987184,0.0
2026-01-01 05:15:00,Haz_2_Csalad,family,0.513904,0.0,0.513904,2.501088,0.0
2026-01-01 05:30:00,Haz_2_Csalad,family,0.108102,0.0,0.108102,2.60919,0.0
2026-01-01 05:45:00,Haz_2_Csalad,family,0.095592,0.0,0.095592,2.704782,0.0
2026-01-01 06:00:00,Haz_2_Csalad,family,0.111103,0.0,0.111103,2.815884,0.0
