timestamp,house_id,profile,consumption_kwh,generation_kwh,net_grid_flow,meter_import_kwh,meter_export_kwh
2026-01-01 00:00:00,Haz_5_Solar_Csalad,family,0.06668,0.0,0.06668,0.06668,0.0
2026-01-01 00:15:00,Haz_5_Solar_Csalad,family,0.067711,0.0,0.067711,0.134391,0.0
2026-01-01 00:30:00,Haz_5_Solar_Csalad,family,0.076628,0.0,0.076628,0.211019,0.0
2026-01-01 00:45:00,Haz_5_Solar_Csalad,family,0.076481,0.0,0.076481,0.2875,0.0
2026-01-01 01:00:00,Haz_5_Solar_Csalad,family,0.079593,0.0,0.079593,0.367092,0.0
2026-01-01 01:15:00,Haz_5_Solar_Csalad,family,0.075514,0.0,0.075514,0.442606,0.0
2026-01-01 01:30:00,Haz_5_Solar_Csalad,family,0.081666,0.0,0.081666,0.524272,0.0
2026-01-01 01:45:00,Haz_5_Solar_Csalad,family,0.071486,0.0,0.071486,0.595758,0.0
2026-01-01 02:00:00,Haz_5_Solar_Csalad,family,0.076859,0.0,0.076859,0.672617,0.0
2026-01-01 02:15:00,Haz_5_Solar_Csalad,family,0.094437,0.0,0.094437,0.767053,0.0
2026-01-01 02:30:00,Haz_5_Solar_Csalad,family,0.077096,0.0,0.077096,0.844149,0.0
2026-01-01 02:45:00,Haz_5_Solar_Csalad,family,0.090982,0.0,0.090982,0.935132,0.0
2026-01-01 03:00:00,Haz_5_Solar_Csalad,family,0.100185,0.0,0.100185,1.035316,0.0
2026-01-01 03:15:00,Haz_5_Solar_Csalad,family,0.106808,0.0,0.106808,1.142125,0.0
2026-01-01 03:30:00,Haz_5_Solar_Csalad,family,0.094213,0.0,0.094213,1.236337,0.0
2026-01-01 03:45:00,Haz_5_Solar_Csalad,family,0.098795,0.0,0.098795,1.335132,0.0
2026-01-01 04:00:00,Haz_5_Solar_Csalad,family,0.106803,0.0,0.106803,1.441935,0.0
2026-01-01 04:15:00,Haz_5_Solar_Csalad,family,0.246582,0.0,0.246582,1.688517,0.0
2026-01-01 04:30:00,Haz_5_Solar_Csalad,family,0.104469,0.0,0.104469,1.792986,0.0
2026-01-01 04:45:00,Haz_5_Solar_Csalad,family,0.089748,0.0,0.089748,1.882734,0.0
2026-01-01 05:00:00,Haz_5_Solar_Csalad,family,0.10323,0.0,0.10323,1.985964,0.0
2026-01-01 05:15:00,Haz_5_Solar_Csalad,family,0.101337,0.0,0.101337,2.0873,0.0
2026-01-01 05:30:00,Haz_5_Solar_Csalad,family,0.098794,0.0,0.098794,2.186094,0.0
2026-01-01 05:45:00,Haz_5_Solar_Csalad,family,0.109998,0.0,0.109998,2.296092,0.0
2026-01-01 06:00:00,Haz_5_Solar_Csalad,family,1.462486,0.0,1.462486,3.758578,0.0
2026-01-01 06:15:00,Haz_5_Solar_Csalad,family,1.070755,0.0,1.070755,4.829334,0.0
2026-01-01 06:30:00,Haz_5_Solar_Csalad,family,1.001274,0.0,1.001274,5.830607,0.0
2026-01-01 06:45:00,Haz_5_Solar_Csalad,family,1.185098,0.0,1.185098,7.015705,0.0
2026-01-01 07:00:00,Haz_5_Solar_Csalad,family,0.556874,0.0,0.556874,7.57258,0.0
2026-01-01 07:15:00,Haz_5_Solar_Csalad,family,0.644568,0.0,0.644568,8.217147,0.0
2026-01-01 07:30:00,Haz_5_Solar_Csalad,family,0.550616,0.0,0.550616,8.767763,0.0
2026-01-01 07:45:00,Haz_5_Solar_Csalad,family,0.932173,0.028099,0.904074,9.671837,0.0
2026-01-01 08:00:00,Haz_5_Solar_Csalad,family,0.158614,0.053011,0.105603,9.77744,0.0
2026-01-01 08:15:00,Haz_5_Solar_Csalad,family,0.137834,0.094808,0.043026,9.820466,0.0
2026-01-01 08:30:00,Haz_5_Solar_Csalad,family,0.197073,0.105897,0.091177,9.911643,0.0
2026-01-01 08:45:00,Haz_5_Solar_Csalad,family,0.160295,0.168528,-0.008234,9.911643,0.008234
2026-01-01 09:00:00,Haz_5_Solar_Csalad,family,0.569995,0.16756,0.402435,10.314078,0.008234
2026-01-01 09:15:00,Haz_5_Solar_Csalad,family,0.192764,0.117932,0.074832,10.388909,0.008234
2026-01-01 09:30:00,Haz_5_Solar_Csalad,family,0.150759,0.15378,-0.003021,10.388909,0.011255
2026-01-01 09:45:00,Haz_5_Solar_Csalad,family,0.16077,0.140536,0.020234,10.409143,0.011255
2026-01-01 10:00:00,Haz_5_Solar_Csalad,family,0.164566,0.141115,0.023451,10.432595,0.011255
2026-01-01 10:15:00,Haz_5_Solar_Csalad,family,0.161718,0.297948,-0.13623,10.432595,0.147485
2026-01-01 10:30:00,Haz_5_Solar_Csalad,family,0.149379,0.238884,-0.089505,10.432595,0.236991
2026-01-01 10:45:00,Haz_5_Solar_Csalad,family,0.152813,0.353695,-0.200882,10.432595,0.437873
2026-01-01 11:00:00,Haz_5_Solar_Csalad,family,0.210562,0.417631,-0.207069,10.432595,0.644941
2026-01-01 11:15:00,Haz_5_Solar_Csalad,family,0.152879,0.258075,-0.105196,10.432595,0.750137
2026-01-01 11:30:00,Haz_5_Solar_Csalad,family,0.171707,0.318934,-0.147227,10.432595,0.897365
2026-01-01 11:45:00,Haz_5_Solar_Csalad,family,0.180783,0.163369,0.017415,10.45001,0.897365
2026-01-01 12:00:00,Haz_5_Solar_Csalad,family,0.165682,0.199642,-0.03396,10.45001,0.931325
2026-01-01 12:15:00,Haz_5_Solar_Csalad,family,0.196512,0.144675,0.051837,10.501846,0.931325
2026-01-01 12:30:00,Haz_5_Solar_Csalad,family,0.347302,0.43023,-0.082928,10.501846,1.014253
2026-01-01 12:45:00,Haz_5_Solar_Csalad,family,0.146577,0.230602,-0.084025,10.501846,1.098278
2026-01-01 13:00:00,Haz_5_Solar_Csalad,family,0.174047,0.162865,0.011182,10.513028,1.098278
2026-01-01 13:15:00,Haz_5_Solar_Csalad,family,0.13933,0.34043,-0.2011,10.513028,1.299378
2026-01-01 13:30:00,Haz_5_Solar_Csalad,family,0.187822,0.257198,-0.069376,10.513028,1.368754
2026-01-01 13:45:00,Haz_5_Solar_Csalad,family,0.312899,0.122867,0.190032,10.70306,1.368754
2026-01-01 14:00:00,Haz_5_Solar_Csalad,family,0.165036,0.217025,-0.051989,10.70306,1.420743
2026-01-01 14:15:00,Haz_5_Solar_Csalad,family,0.184142,0.165896,0.018247,10.721307,1.420743
2026-01-01 14:30:00,Haz_5_Solar_Csalad,family,0.194094,0.239867,-0.045773,10.721307,1.466516
2026-01-01 14:45:00,Haz_5_Solar_Csalad,family,0.197013,0.143936,0.053078,10.774385,1.466516
2026-01-01 15:00:00,Haz_5_Solar_Csalad,family,0.50864,0.128362,0.380277,11.154662,1.466516
2026-01-01 15:15:00,Haz_5_Solar_Csalad,family,0.506106,0.18541,0.320696,11.475358,1.466516
2026-01-01 15:30:00,Haz_5_Solar_Csalad,family,0.611022,0.108473,0.502548,11.977907,1.466516
2026-01-01 15:45:00,Haz_5_Solar_Csalad,family,0.604402,0.08636,0.518042,12.495949,1.466516
2026-01-01 16:00:00,Haz_5_Solar_Csalad,family,0.958064,0.061834,0.89623,13.392179,1.466516
2026-01-01 16:15:00,Haz_5_Solar_Csalad,family,0.8818,0.019021,0.862779,14.254958,1.466516
2026-01-01 16:30:00,Haz_5_Solar_Csalad,family,0.748882,0.0,0.748882,15.00384,1.466516
2026-01-01 16:45:00,Haz_5_Solar_Csalad,family,0.721485,0.0,0.721485,15.725325,1.466516
2026-01-01 17:00:00,Haz_5_Solar_Csalad,family,1.155633,0.0,1.155633,16.880958,1.466516
2026-01-01 17:15:00,Haz_5_Solar_Csalad,family,1.324393,0.0,1.324393,18.205351,1.466516
2026-01-01 17:30:00,Haz_5_Solar_Csalad,family,1.167842,0.0,1.167842,19.373193,1.466516
2026-01-01 17:45:00,Haz_5_Solar_Csalad,family,1.416359,0.0,1.416359,20.789552,1.466516
2026-01-01 18:00:00,Haz_5_Solar_Csalad,family,1.582257,0.0,1.582257,22.371808,1.466516
2026-01-01 18:15:00,Haz_5_Solar_Csalad,family,1.871102,0.0,1.871102,24.24291,1.466516
2026-01-01 18:30:00,Haz_5_Solar_Csalad,family,1.535867,0.0,1.535867,25.778777,1.466516
2026-01-01 18:45:00,Haz_5_Solar_Csalad,family,1.943382,0.0,1.943382,27.722158,1.466516
2026-01-01 19:00:00,Haz_5_Solar_Csalad,family,1.492242,0.0,1.492242,29.2144,1.466516
2026-01-01 19:15:00,Haz_5_Solar_Csalad,family,1.093896,0.0,1.093896,30.308297,1.466516
2026-01-01 19:30:00,Haz_5_Solar_Csalad,family,1.012307,0.0,1.012307,31.320604,1.466516
2026-01-01 19:45:00,Haz_5_Solar_Csalad,family,1.203602,0.0,1.203602,32.524205,1.466516
2026-01-01 20:00:00,Haz_5_Solar_Csalad,family,0.947836,0.0,0.947836,33.472041,1.466516
2026-01-01 20:15:00,Haz_5_Solar_Csalad,family,0.763468,0.0,0.763468,34.23551,1.466516
2026-01-01 20:30:00,Haz_5_Solar_Csalad,family,0.907109,0.0,0.907109,35.142618,1.466516
2026-01-01 20:45:00,Haz_5_Solar_Csalad,family,0.885005,0.0,0.885005,36.027623,1.466516
2026-01-01 21:00:00,Haz_5_Solar_Csalad,family,0.661965,0.0,0.661965,36.689588,1.466516
2026-01-01 21:15:00,Haz_5_Solar_Csalad,family,0.673402,0.0,0.673402,37.362989,1.466516
2026-01-01 21:30:00,Haz_5_Solar_Csalad,family,0.844991,0.0,0.844991,38.207981,1.466516
2026-01-01 21:45:00,Haz_5_Solar_Csalad,family,0.406441,0.0,0.406441,38.614421,1.466516
2026-01-01 22:00:00,Haz_5_Solar_Csalad,family,0.072902,0.0,0.072902,38.687323,1.466516
2026-01-01 22:15:00,Haz_5_Solar_Csalad,family,0.221377,0.0,0.221377,38.9087,1.466516
2026-01-01 22:30:00,Haz_5_Solar_Csalad,family,0.076154,0.0,0.076154,38.984854,1.466516
2026-01-01 22:45:00,Haz_5_Solar_Csalad,family,0.074943,0.0,0.074943,39.059797,1.466516
2026-01-01 23:00:00,Haz_5_Solar_Csalad,family,0.06511,0.0,0.06511,39.124907,1.466516
2026-01-01 23:15:00,Haz_5_Solar_Csalad,family,0.05891,0.0,0.05891,39.183816,1.466516
2026-01-01 23:30:00,Haz_5_Solar_Csalad,family,0.064774,0.0,0.064774,39.24859,1.466516
2026-01-01 23:45:00,Haz_5_Solar_Csalad,family,0.066076,0.0,0.066076,39.314666,1.466516
2026-01-02 00:00:00,Haz_5_Solar_Csalad,family,0.064084,0.0,0.064084,39.37875,1.466516
2026-01-02 00:15:00,Haz_5_Solar_Csalad,family,0.062173,0.0,0.062173,39.440922,1.466516
2026-01-02 00:30:00,Haz_5_Solar_Csalad,family,0.060174,0.0,0.060174,39.501096,1.466516
2026-01-02 00:45:00,Haz_5_Solar_Csalad,family,0.064764,0.0,0.064764,39.56586,1.466516
2026-01-02 01:00:00,Haz_5_Solar_Csalad,family,0.074914,0.0,0.074914,39.640774,1.466516
2026-01-02 01:15:00,Haz_5_Solar_Csalad,family,0.070056,0.0,0.070056,39.71083,1.466516
2026-01-02 01:30:00,Haz_5_Solar_Csalad,family,0.069418,0.0,0.069418,39.780248,1.466516
2026-01-02 01:45:00,Haz_5_Solar_Csalad,family,0.475271,0.0,0.475271,40.255519,1.466516
2026-01-02 02:00:00,Haz_5_Solar_Csalad,family,0.079526,0.0,0.079526,40.335045,1.466516
2026-01-02 02:15:00,Haz_5_Solar_Csalad,family,0.080033,0.0,0.080033,40.415078,1.466516
2026-01-02 02:30:00,Haz_5_Solar_Csalad,family,0.080659,0.0,0.080659,40.495737,1.466516
2026-01-02 02:45:00,Haz_5_Solar_Csalad,family,0.079832,0.0,0.079832,40.575569,1.466516
2026-01-02 03:00:00,Haz_5_Solar_Csalad,family,0.077327,0.0,0.077327,40.652896,1.466516
2026-01-02 03:15:00,Haz_5_Solar_Csalad,family,0.091524,0.0,0.091524,40.744421,1.466516
2026-01-02 03:30:00,Haz_5_Solar_Csalad,family,0.091538,0.0,0.091538,40.835959,1.466516
2026-01-02 03:45:00,Haz_5_Solar_Csalad,family,0.079888,0.0,0.079888,40.915846,1.466516
2026-01-02 04:00:00,Haz_5_Solar_Csalad,family,0.10767,0.0,0.10767,41.023516,1.466516
2026-01-02 04:15:00,Haz_5_Solar_Csalad,family,0.101512,0.0,0.101512,41.125028,1.466516
2026-01-02 04:30:00,Haz_5_Solar_Csalad,family,0.098009,0.0,0.098009,41.223037,1.466516
2026-01-02 04:45:00,Haz_5_Solar_Csalad,family,0.09513,0.0,0.09513,41.318168,1.466516
2026-01-02 05:00:00,Haz_5_Solar_Csalad,family,0.102674,0.0,0.102674,41.420841,1.466516
2026-01-02 05:15:00,Haz_5_Solar_Csalad,family,0.103952,0.0,0.103952,41.524793,1.466516
2026-01-02 05:30:00,Haz_5_Solar_Csalad,family,0.088542,0.0,0.088542,41.613335,1.466516
2026-01-02 05:45:00,Haz_5_Solar_Csalad,family,0.104678,0.0,0.104678,41.718013,1.466516
2026-01-02 06:00:00,Haz_5_Solar_Csalad,family,0.259902,0.0,0.259902,41.977915,1.466516
2026-01-02 06:15:00,Haz_5_Solar_Csalad,family,0.12143,0.0,0.12143,42.099346,1.466516
2026-01-02 06:30:00,Haz_5_Solar_Csalad,family,0.102952,0.0,0.102952,42.202298,1.466516
2026-01-02 06:45:00,Haz_5_Solar_Csalad,family,0.105312,0.0,0.105312,42.30761,1.466516
2026-01-02 07:00:00,Haz_5_Solar_Csalad,family,1.089702,0.0,1.089702,43.397312,1.466516
2026-01-02 07:15:00,Haz_5_Solar_Csalad,family,1.207402,0.0,1.207402,44.604713,1.466516
2026-01-02 07:30:00,Haz_5_Solar_Csalad,family,0.892456,0.0,0.892456,45.497169,1.466516
2026-01-02 07:45:00,Haz_5_Solar_Csalad,family,1.146273,0.014126,1.132148,46.629317,1.466516
2026-01-02 08:00:00,Haz_5_Solar_Csalad,family,0.626718,0.035064,0.591653,47.220971,1.466516
2026-01-02 08:15:00,Haz_5_Solar_Csalad,family,0.811219,0.045459,0.76576,47.986731,1.466516
2026-01-02 08:30:00,Haz_5_Solar_Csalad,family,0.56498,0.069974,0.495006,48.481736,1.466516
2026-01-02 08:45:00,Haz_5_Solar_Csalad,family,0.511892,0.043046,0.468846,48.950582,1.466516
2026-01-02 09:00:00,Haz_5_Solar_Csalad,family,0.208538,0.069381,0.139157,49.089739,1.466516
2026-01-02 09:15:00,Haz_5_Solar_Csalad,family,0.210963,0.084876,0.126086,49.215826,1.466516
2026-01-02 09:30:00,Haz_5_Solar_Csalad,family,0.18552,0.094258,0.091262,49.307087,1.466516
2026-01-02 09:45:00,Haz_5_Solar_Csalad,family,0.181771,0.090303,0.091468,49.398556,1.466516
2026-01-02 10:00:00,Haz_5_Solar_Csalad,family,0.151049,0.063118,0.087931,49.486487,1.466516
2026-01-02 10:15:00,Haz_5_Solar_Csalad,family,0.159844,0.135707,0.024136,49.510623,1.466516
2026-01-02 10:30:00,Haz_5_Solar_Csalad,family,0.20173,0.144272,0.057458,49.568081,1.466516
2026-01-02 10:45:00,Haz_5_Solar_Csalad,family,0.187476,0.075659,0.111817,49.679898,1.466516
2026-01-02 11:00:00,Haz_5_Solar_Csalad,family,0.200884,0.117173,0.083711,49.763609,1.466516
2026-01-02 11:15:00,Haz_5_Solar_Csalad,family,0.16902,0.120344,0.048676,49.812284,1.466516
2026-01-02 11:30:00,Haz_5_Solar_Csalad,family,0.164257,0.206713,-0.042456,49.812284,1.508971
2026-01-02 11:45:00,Haz_5_Solar_Csalad,family,0.574728,0.203195,0.371533,50.183818,1.508971
2026-01-02 12:00:00,Haz_5_Solar_Csalad,family,0.361083,0.211862,0.149221,50.333038,1.508971
2026-01-02 12:15:00,Haz_5_Solar_Csalad,family,0.192416,0.189039,0.003377,50.336415,1.508971
2026-01-02 12:30:00,Haz_5_Solar_Csalad,family,0.158344,0.115697,0.042647,50.379063,1.508971
2026-01-02 12:45:00,Haz_5_Solar_Csalad,family,0.170333,0.206509,-0.036176,50.379063,1.545147
2026-01-02 13:00:00,Haz_5_Solar_Csalad,family,0.155139,0.196932,-0.041793,50.379063,1.586941
2026-01-02 13:15:00,Haz_5_Solar_Csalad,family,0.180917,0.084484,0.096433,50.475496,1.586941
2026-01-02 13:30:00,Haz_5_Solar_Csalad,family,0.182659,0.066286,0.116373,50.591869,1.586941
2026-01-02 13:45:00,Haz_5_Solar_Csalad,family,0.193553,0.08024,0.113312,50.705181,1.586941
2026-01-02 14:00:00,Haz_5_Solar_Csalad,family,0.204398,0.085649,0.118749,50.82393,1.586941
2026-01-02 14:15:00,Haz_5_Solar_Csalad,family,0.195701,0.062405,0.133296,50.957226,1.586941
2026-01-02 14:30:00,Haz_5_Solar_Csalad,family,0.151687,0.061914,0.089773,51.046999,1.586941
2026-01-02 14:45:00,Haz_5_Solar_Csalad,family,0.145023,0.096995,0.048028,51.095027,1.586941
2026-01-02 15:00:00,Haz_5_Solar_Csalad,family,0.160894,0.088878,0.072016,51.167043,1.586941
2026-01-02 15:15:00,Haz_5_Solar_Csalad,family,0.186833,0.065379,0.121454,51.288497,1.586941
2026-01-02 15:30:00,Haz_5_Solar_Csalad,family,0.179795,0.040023,0.139772,51.428269,1.586941
2026-01-02 15:45:00,Haz_5_Solar_Csalad,family,0.18759,0.024469,0.163121,51.59139,1.586941
2026-01-02 16:00:00,Haz_5_Solar_Csalad,family,0.395772,0.015007,0.380765,51.972154,1.586941
2026-01-02 16:15:00,Haz_5_Solar_Csalad,family,0.559823,0.014994,0.544829,52.516983,1.586941
2026-01-02 16:30:00,Haz_5_Solar_Csalad,family,0.554262,0.0,0.554262,53.071245,1.586941
2026-01-02 16:45:00,Haz_5_Solar_Csalad,family,0.439927,0.0,0.439927,53.511172,1.586941
2026-01-02 17:00:00,Haz_5_Solar_Csalad,family,0.868346,0.0,0.868346,54.379519,1.586941
2026-01-02 17:15:00,Haz_5_Solar_Csalad,family,0.929399,0.0,0.929399,55.308918,1.586941
2026-01-02 17:30:00,Haz_5_Solar_Csalad,family,0.631856,0.0,0.631856,55.940774,1.586941
2026-01-02 17:45:00,Haz_5_Solar_Csalad,family,0.907253,0.0,0.907253,56.848027,1.586941
2026-01-02 18:00:00,Haz_5_Solar_Csalad,family,1.138217,0.0,1.138217,57.986244,1.586941
2026-01-02 18:15:00,Haz_5_Solar_Csalad,family,1.051614,0.0,1.051614,59.037857,1.586941
2026-01-02 18:30:00,Haz_5_Solar_Csalad,family,1.005052,0.0,1.005052,60.04291,1.586941
2026-01-02 18:45:00,Haz_5_Solar_Csalad,family,1.312892,0.0,1.312892,61.355802,1.586941
